DICTION              3     202206 Institutes                      3000000300001 
1USAABD    (U.S. Army Aberdeen Res.+ Develop.Center, Aberdeen, MD)3000000300030 
            Compare 1USABRL which is not the same.                3000000300031 
1USAACC    (Exxon Nuclear Idaho Co., ID)                          3000000300032 
            Formerly Allied Chemical                              3000000300033 
            Compare AIF, ANC, MTR.                                3000000300034 
1USAAEC    (U.S. Atomic Energy Commission, Washington, DC)        3000000300035 
            In 1975 split into ERDA ('ERD') and NRC.              3000000300036 
1USAAFT    (Air Force Inst. Technology, Wright-Patterson AFB, OH) 3000000300037 
1USAAFW    (Air Force Weapons Lab., Kirkland AFB, Albuquerque, NM)3000000300038 
1USAAGN    (Aerojet-General Nucleonics, San Ramon, CA)            3000000300039 
1USAAI     (Rockwell Int., Energy Systems Group, Canoga Park, CA) 3000000300040 
           =(formerly Atomics International).                     3000000300041 
1USAAIF    (Argonne National Laboratory - West, Idaho Falls, ID)  3000000300042 
1USAAIP    (American Institute of Physics, New York, NY)          3000000300043 
1USAALB    (State University of New York, Albany, NY)             3000000300044 
1USAALS    (Alabama State University, Montgomery, AL)             3000000300045 
1USAAMH    (Amherst College, Amherst, MA)                         3000000300046 
1USAAMW    (American Universit, Washington, DC)                   3000000300047 
1USAANA    (U.S. Naval Academy, Annapolis, MD)                    3000000300048 
1USAAND    (Andrews Univ., Berrien Springs, MI)                   3000000300049 
1USAANL    (Argonne National Laboratory, Argonne, IL)             3000000300050 
            For Idaho branch of ANL use code 'AIF'.               3000000300051 
1USAAPD    (Atomic Power Development Associates, Detroit, MI)     3000000300052 
1USAARC    (Atlantic Richfield Hanford Company, Richland, WA)     3000000300053 
1USAARF    (Armour Research Foundation, Chicago, IL)              3000000300054O
1USAARK    (Univ. of Arkansas, Fayetteville, AR)                  3000000300055 
1USAARL    (Aerospace Res. Labs, Wright-Patterson A.F. Base, OH)  3000000300056 
            Before 1972 1USAWAD                                   3000000300057 
1USAARS    (Aerospace Research Labs.)                             3000000300058O
            Obsolete. Use 1USAARL.                                3000000300059O
1USAAST    (Astra Inc., Raleigh, NC)                              3000000300060 
1USAASU    (Arizona State University, Tempe, AZ)                  3000000300061 
1USAAUB    (Auburn University, Auburn, AL)                        3000000300062 
1USAAUI    (University of Illinois, Urbana-Champaign, IL)         3000000300063O
1USAB+W    (Babcock and Wilcox, Lynchburgh, VA)                   3000000300064 
1USABAR    (Bartol Research Foundation, Swarthmore, PA)           3000000300065 
1USABAT    (Battelle Memorial Institute, Columbus, OH)            3000000300066 
1USABCC    (J.T.Baker Chemical Company, Phillipsburg, NJ)         3000000300067 
1USABCM    (Boston College, Chestnut Hill, MA)                    3000000300068 
1USABEL    (AT&T Bell Laboratories, Murray Hill, NJ)              3000000300069 
1USABET    (Bettis Atomic Power Lab., Westinghouse, Pittsburgh,PA)3000000300070 
1USABLN    (Brooklyn College of the C.U.N.Y., Brooklyn, NY)       3000000300071 
1USABNL    (Brookhaven National Laboratory, Upton, NY)            3000000300072 
1USABNW    (Pacific Northwest Laboratories, Richland, WA)         3000000300073 
           =(previously Battelle Northwest).                      3000000300074 
            Previously 1USAHAN. Compare 1USAHED                   3000000300075 
1USABOE    (Boeing Scientific Research Labs, Seattle, WA)         3000000300076 
1USABRK    (Lawrence Berkeley National Laboratory, Berkeley, CA)  3000000300077 
           =(until 1971 Lawrence Radiation Lab. Berkeley)         3000000300078 
1USABRL    (Ballistic Research Labs, Aberdeen Proving Grounds, MD)3000000300079 
            Compare 1USAABD which is not the same                 3000000300080 
1USABRN    (Brown University, Providence, RI)                     3000000300081 
1USABST    (Boston University, Boston, MA)                        3000000300082 
1USABSU    (Ball State Univ., Muncie, IN)                         3000000300083 
1USABYU    (Brigham Young University, Provo, UT)                  3000000300084 
1USACAL    (California Institute of Technology, Pasadena, CA)     3000000300085 
1USACAR    (Carnegie Inst. of Technology, Pittsburgh, PA,)        3000000300086 
           =including Carnegie-Mellon University                  3000000300087 
1USACAW    (Carnegie Institute, Washington, DC)                   3000000300088 
1USACBE    (Combustion Engineering, Windsor, CN)                  3000000300089 
1USACBF    (Thomas Jefferson Nat'l Accel.Facil., Newport News, VA)3000000300090 
1USACFN    (California State University, Northridge, CA)          3000000300091 
1USACHI    (University of Chicago, IL)                            3000000300092 
1USACLA    (University of California, Los Angeles, CA)            3000000300093 
1USACLI    (Clinton Labs, Knoxville, TN)                          3000000300094 
1USACLK    (Clark University, Worcester, MA)                      3000000300095 
1USACLS    (Cleveland State University, Cleveland, OH)            3000000300096 
1USACLU    (Colorado University, Boulder, CO)                     3000000300097 
1USACMU    (Carnegie-Mellon University, Pittsburgh, PA)           3000000300098O
            Obsolete. Use 1USACAR.                                3000000300099O
1USACOL    (Columbia University, New York, NY)                    3000000300100 
1USACON    (Convair, San Diego, CA)                               3000000300101 
1USACOR    (Cornell University, Ithaca, NY)                       3000000300102 
1USACOU    (Courant Inst. of Mathematical Sciences, New York, NY) 3000000300103 
1USACRD    (California Research and Development Co., Livermore,CA)3000000300104 
1USACSD    (University of California, San Diego, CA)              3000000300105 
1USACSE    (Case Western Reserve University, Cleveland, OH)       3000000300106 
            Formerly Case Inst. of Technology                     3000000300107 
1USACSI    (Columbia Scientific Industries Corp., Lafayette, LA)  3000000300108 
1USACSM    (Colorado School of Mines, Golden, CO)                 3000000300109 
1USACSS    (California State University, Sacramento, CA)          3000000300110 
1USACST    (California State University, Los Angeles, CA)         3000000300111 
1USACSU    (Colorado State University, Fort Collins, CO)          3000000300112 
            Compare 1USACLU.                                      3000000300113 
1USACUA    (Catholic University of America, Washington, DC)       3000000300114 
1USACUW    (Curtiss-Wright Corp., Quehanna, PA)                   3000000300115 
1USACWR    (Curtiss-Wright Corp., Quehanna, Pa)                   3000000300116O
1USADAV    (University of California, Davis, CA)                  3000000300117 
1USADKE    (Duke University, Durham, NC)                          3000000300118 
1USADLS    (Univ. of Dallas, Irving, TX)                          3000000300119 
1USADNS    (Denison University, Granville, OH)                    3000000300120 
1USADOD    (Dept. of Defense, DASA, Washington, DC)               3000000300121 
1USADOE    (Department of Energy, Washington, DC)                 3000000300122 
            Previously ERDA (ERD)                                 3000000300123 
1USADOF    (Diamond Ordnance Fuse Laboratory)                     3000000300124 
1USADRF    (Dow Chemical Co., Rocky Flats, CO)                    3000000300125 
1USAEGG    (E G+G Energy Measurements, Santa Barbara, CA)         3000000300126 
1USAEMY    (Emory University, Atlanta, GA)                        3000000300127 
1USAERD    (U.S. Energy Res. & Development Adm., Washington, DC)  3000000300128 
            Formerly 'USAAEC', later DOE.                         3000000300129 
1USAETS    (East Texas State University)                          3000000300130 
1USAFLA    (University of Florida, Gainesville, FL)               3000000300131 
1USAFSU    (Florida State University, Tallahassee, FL)            3000000300132 
1USAGA     (Gulf Energy and Environmental Systems, San Diego, CA) 3000000300133 
           =(until July 1970 Gulf General Atomics)                3000000300134 
1USAGDT    (General Dynamics, Fort Worth, TX)                     3000000300135 
1USAGEA    (General Electric, Aircraft Nucl.Prop.Dept., Ohio)     3000000300136 
1USAGEB    (General Electric Breeder React.Dev.Op., Sunnyvale, CA)3000000300137 
1USAGEC    (General Electric Company, San Jose, CA)               3000000300138 
1USAGEF    (General Electric, Space Science Lab., PA)             3000000300139 
1USAGEN    (General Electric, Nuclear Materials, PA)              3000000300140 
1USAGEO    (University of Georgia, Athens, GA)                    3000000300141 
1USAGEP    (General Electric, Nucleonics Lab., Pleasanton, CA)    3000000300142 
1USAGES    (General Electric, Schenectady, NY)                    3000000300143 
1USAGEV    (General Electric, Vallecitos Atomic Lab., CA)         3000000300144 
1USAGGA    (Gulf General Atomic, San Diego, CA)                   3000000300145 
            Founded around 1969, formerly General Atomics Div.    3000000300146 
              of General Dynamics                                 3000000300147 
1USAGIT    (Georgia Institute of Technology, Atlanta, GA)         3000000300148 
1USAGRT    (Gulf Radiation Technology, San Diego, CA)             3000000300149 
            Founded around 1971, split off from 1USAGA            3000000300150 
1USAGSF    (Nasa Goddard Space Flight Center, Greenbelt, MD)      3000000300151 
1USAGSU    (Georgia State University, Atlanta, GA)                3000000300152 
1USAGWU    (George Washington University, Washington, DC)         3000000300153 
1USAHAN    (Hanford Atomic Products, Richland, WA)                3000000300154X
           =(later changed to BNW)                                3000000300155X
            Compare 1USAHED.                                      3000000300156X
1USAHED    (Hanford Engineering Development Lab., Richland, WA)   3000000300157 
            Around 1971 split off from BNW.                       3000000300158 
1USAHNS    (Hazelton Nuclear Science Corp., Palo Alto, CA)        3000000300159 
1USAHOU    (University of Houston, Houston, TX)                   3000000300160 
1USAHPE    (Hope College, Holland, MI)                            3000000300161 
1USAHRV    (Harvard University, Cambridge, MA)                    3000000300162 
1USAHSL    (U.S.A.E.C. Health and Safety Lab., NY)                3000000300163 
1USAIAP    (Institute for Advanced Studies, Princeton, NJ)        3000000300164 
1USAIBM    (I B M Research Lab., San Jose, CA)                    3000000300165 
1USAIIT    (Illinois Institute of Technology, Chicago, IL)        3000000300166 
1USAINL    (Idaho National Laboratory, Idaho Falls, ID)           3000000300167 
                 - 1997 Idaho National Engineering Laboratory     3000000300168 
            1997 - 2005 Idaho National Engineering and            3000000300169 
                        Environmental Laboratory                  3000000300170 
1USAINU    (Indiana University, Bloomington, IN)                  3000000300171 
1USAIOW    (University of Iowa, Iowa City, IA)                    3000000300172 
            Compare 1USASUI.                                      3000000300173 
1USAIRT    (Intelcom Radiation Technology, San Diego, CA)         3000000300174 
1USAIRV    (University of California, Irvine, CA)                 3000000300175 
1USAISB    (Indiana University, South Bend, IN)                   3000000300176 
1USAISU    (Idaho State University, Pocatello, ID)                3000000300177 
1USAJHU    (Johns Hopkins University, Baltimore, MD)              3000000300178 
1USAKAN    (University of Kansas, Lawrence, KS)                   3000000300179 
1USAKAP    (Knolls Atomic Power Laboratory, Schenectady, NY)      3000000300180 
1USAKNT    (Kent State University, Kent, OH)                      3000000300181 
1USAKSU    (Kansas State University, Manhattan, KS)               3000000300182 
1USAKTY    (University of Kentucky, Lexington, KY)                3000000300183 
1USALAN    (Langley Research Center, NASA Langley Station, VA)    3000000300184 
1USALAS    (Los Alamos National Laboratory, NM)                   3000000300185 
           =(previously Los Alamos Scientific Laboratory)         3000000300186 
1USALBL    (Lawrence Berkeley Lab, Berkeley, CA)                  3000000300187O
            Obsolete. Use 1USABRK.                                3000000300188O
1USALMS    (Lockheed Missiles and Space Div., Palo Alto, CA)      3000000300189 
1USALOK    (Lockheed Aircraft Corp., Sunnyvale, CA)               3000000300190 
1USALOW    (Lowell Technological Institute, Lowell, MA)           3000000300191O
1USALOY    (Loyola University, Los Angeles, CA)                   3000000300192 
1USALRC    (NASA-Lewis Research Center, Cleveland, OH)            3000000300193 
1USALRL    (Lawrence Livermore National Laboratory, Livermore, CA)3000000300194 
           =(until 1971 Lawrence Radiation Laboratory)            3000000300195 
1USALSU    (Louisiana State University, Baton Rouge, LA)          3000000300196 
1USALTI    (University of Massachusetts at Lowell, MA)            3000000300197 
           =(formerly Lowell Technological Institute)             3000000300198 
1USALVL    (University of Louisville, Louisville, KY)             3000000300199 
1USAMAG    (MAGI, Elmsford, NY)                                   3000000300200 
1USAMAR    (Marquette University, Milwaukee, WI)                  3000000300201 
1USAMGH    (Massachusetts General Hospital, Boston, MA)           3000000300202 
1USAMGT    (Michigan Technological University, Houghton, MI)      3000000300203 
1USAMHD    (University of Michigan, Dearborn, MI)                 3000000300204 
1USAMHG    (University of Michigan, Ann Arbor, MI)                3000000300205 
1USAMIN    (University of Minnesota, Minneapolis, MN)             3000000300206 
1USAMIS    (University of Missouri, Columbia, MO)                 3000000300207 
            Distinct from (WAS) Washington Univ, Missouri.        3000000300208 
1USAMIT    (Massachusetts Institute of Technology, Cambridge, MA) 3000000300209 
1USAMIU    (Miami University, Oxford, OH)                         3000000300210 
1USAMND    (Mound Laboratory, Miamisburg, OH)                     3000000300211 
1USAMRD    (University of Maryland, College Park, MD)             3000000300212O
1USAMRY    (University of Maryland, College Park, MD)             3000000300213 
1USAMSM    (Mount Sinai Medical Center, Miami Beach, FL)          3000000300214 
1USAMSS    (Mississippi State University, Mississippi State, MS)  3000000300215 
1USAMST    (Mississippi State University, Mississippi State, MS)  3000000300216O
1USAMSU    (Michigan State University, East Lansing, MI)          3000000300217 
1USAMTR    (Idaho Nuclear Corp., Idaho Falls, ID)                 3000000300218 
            Formerly Phillips Petroleum Co.                       3000000300219 
             1971 changed to Idaho Nucl.Engineering Lab.,         3000000300220 
             see 1USAINL                                          3000000300221 
1USAMTS    (Middle Tennessee State University, Murfreesboro, TN)  3000000300222 
1USAMTU    (Montana State University, Missoula, MT)               3000000300223 
1USAMUR    (Murray State University, Murray, KY)                  3000000300224 
1USANAL    (Fermi National Laboratory, Batavia, IL)               3000000300225 
1USANAS    (NASA, Washington, DC)                                 3000000300226 
1USANBS    (National Bureau of Standards, Washington, DC)         3000000300227X
1USANCA    (University of North Carolina, Chapel Hill, NC)        3000000300228 
1USANCC    (North Carolina Central University, Durham, NC)        3000000300229 
1USANCS    (North Carolina State University, Raleigh, NC)         3000000300230 
                 - 1963: North Carolina State College             3000000300231 
1USANDA    (Nuclear Development Associates Inc.)                  3000000300232 
            (1958-1963)                                           3000000300233 
1USANDL    (U.S. Army Nuclear Defence Lab., Edgewood Arsenal, MD) 3000000300234 
            1972 changed to 1USANEL                               3000000300235 
1USANEB    (North Eastern University, Boston, MA)                 3000000300236 
1USANEL    (U.S. Nuclear Effects Lab., Edgewood Arsenal, MD)      3000000300237 
            Before 1972 1USANDL                                   3000000300238 
1USANGC    (North Georgia College, Dahlonega, NC)                 3000000300239 
1USANIH    (National Institutes of Health, Bethesda, MD)          3000000300240 
1USANIS    (National Inst.of Standards & Techn., Gaithersburg, MD)3000000300241 
           =(formerly Nat.Bureau of Standards, NBS)               3000000300242 
1USANIU    (Northern Illinois University, Dekalb, IL)             3000000300243 
1USANMS    (New Mexico State University, Las Cruces, NM)          3000000300244 
1USANMX    (University of New Mexico, Albuquerque, NM)            3000000300245 
1USANOL    (U.S. Navy Ordinance Lab., Silver Springs, MD)         3000000300246 
1USANOT    (University of Notre Dame, Notre Dame, IN)             3000000300247 
1USANRD    (U.S. Naval Radiolog. Defense Lab., San Francisco, CA) 3000000300248 
1USANRL    (U.S. Naval Research Lab., Washington, DC)             3000000300249 
1USANTS    (North Texas State University, Denton, TX)             3000000300250 
1USANWU    (Northwestern University, Evanston, IL)                3000000300251 
1USANYB    (State University of New York, Buffalo, NY)            3000000300252 
1USANYU    (New York University, New York, NY)                    3000000300253 
1USAOAU    (Oak Ridge Associated Universities, Oak Ridge, TN)     3000000300254 
1USAOBR    (Oberlin College, Oberlin, OH)                         3000000300255 
1USAOHO    (Ohio University, Athens, OH)                          3000000300256 
1USAOKL    (University of Oklahoma, Norman, OK)                   3000000300257 
1USAORD    (Nuclear Data Project, ORNL, Oak Ridge, TN)            3000000300258 
1USAORE    (University of Oregon, Eugene, OR)                     3000000300259 
1USAORL    (Oak Ridge National Laboratory, Oak Ridge, TN)         3000000300260 
1USAORS    (Radiation Shielding Inf. Center, ORNL, Oak Ridge, TN) 3000000300261 
1USAORU    (Oregon State University, Corvallis, OR)               3000000300262 
1USAOSU    (Ohio State University, Columbus, OH)                  3000000300263 
1USAPCT    (Picatinny Arsenal, Dover, NJ)                         3000000300264 
1USAPEN    (University of Pennsylvania, Philadelphia, PA)         3000000300265 
1USAPPO    (Phillips Petroleum Co., Bartletsville, OK)            3000000300266 
1USAPR     (Puerto Rico)                                          3000000300267 
1USAPRW    (Pratt + Whitney, Middletown, CT)                      3000000300268 
1USAPSU    (Pennsylvania State University, University Park, PA)   3000000300269 
1USAPTN    (Princeton University, Princeton, NJ)                  3000000300270 
1USAPUP    (University of Pittsburgh, Pittsburgh, PA)             3000000300271 
1USAPUR    (Purdue University, West Lafayette, IN)                3000000300272 
1USARAN    (The Rand Corporation, Santa Monica, CA)               3000000300273 
1USARDI    (Radiation Dynamics, Inc., Westbury, NY)               3000000300274 
1USARDL    (University of Redlands, Redlands, CA)                 3000000300275 
1USARED    (Redstone Arsenal, AL)                                 3000000300276 
1USAREN    (Reno Metallurgical Research Center, Reno, NV)         3000000300277 
1USARES    (Division of Research, USAEC, Washington, DC)          3000000300278 
1USARHI    (Rhode Island University, Kingston, RI)                3000000300279 
1USARIC    (Rice University, Houston, TX)                         3000000300280 
1USARL     (Richland Operations Office, Richland, WA)             3000000300281 
1USAROC    (University of Rochester, Rochester, NY)               3000000300282 
1USARPI    (Rensselaer Polytechnic Institute, Troy, NY)           3000000300283 
1USARUT    (Rutgers University, New Brunswick, NJ)                3000000300284 
1USASAI    (Science Applications Internat. Corp., San Diego, CA)  3000000300285 
1USASC     (Sandia National Laboratory, Albuquerque, NM)          3000000300286 
1USASCA    (University of South Carolina, Columbia, SC)           3000000300287 
1USASDC    (San Diego State College, San Diego, CA)               3000000300288 
1USASIG    (National Nuclear Data Center, BNL, Upton, NY)         3000000300289 
1USASJS    (San Jose State University, San Jose, CA)              3000000300290 
1USASLU    (Saint Louis University, Saint Louis, MO)              3000000300291 
1USASMU    (Southern Methodist University, Dallas, TX)            3000000300292 
1USASNI    (Southern University Nuclear Inst., Baton Rouge, LA)   3000000300293 
1USASNP    (Space Nuclear Propulsion Office, Cleveland, OH)       3000000300294 
1USASOC    (Socony Mobil Oil Co., Dallas, TX)                     3000000300295 
1USASPC    (SPire Corp., Bedford, MA)                             3000000300296 
1USASRE    (Space Radiation Effects Lab., Newport News, VA)       3000000300297 
1USASRI    (Stanford Research Inst., Menlo Park, CA)              3000000300298 
1USASRL    (Savannah River Lab., E.I. Dupont, Aiken, SC)          3000000300299 
1USASTB    (State University of New York, Stony Brook, NY)        3000000300300 
1USASTF    (Stanford University, Stanford, CA)                    3000000300301 
1USASTM    (Saint Mary's College of Maryland, St. Mary's City, MD)3000000300302 
1USASUB    (State University of New York, Binghamtom, NY)         3000000300303 
1USASUI    (Iowa State University, Ames, IA)                      3000000300304 
            Compare 1USAIOW.                                      3000000300305 
1USASWL    (University of Southwestern Louisiana, Lafayette, LA)  3000000300306 
1USASYR    (Syracuse University, Syracuse, NY)                    3000000300307 
1USATAM    (Texas A & M University, College Station, TX)          3000000300308 
1USATEM    (Temple University, Philadelphia, PA)                  3000000300309 
1USATEN    (University of Tennessee, Knoxville, TN)               3000000300310 
1USATEX    (University of Texas, Austin, TX)                      3000000300311 
1USATID    (Div. of Technical Info., USAEC, Oak Ridge, TN)        3000000300312 
1USATNC    (Texas Nuclear Corp., Austin, TX)                      3000000300313 
1USATNL    (Triangle Universities Nuclear Lab., Durham, NC)       3000000300314 
            Compare 1USADKE, 1USANCA.                             3000000300315 
1USATRW    (T R W, Redondo Beach, CA)                             3000000300316 
1USATTU    (Tennessee Technological Univ., Cookeville, TN)        3000000300317 
1USATUL    (Tulane University, New Orleans, LA)                   3000000300318 
1USAUAL    (University of Alabama, AL)                            3000000300319 
1USAUAZ    (Arizona Univ., Tucson, AZ)                            3000000300320 
1USAUCB    (United Nuclear Corp., Tuxedo, NY)                     3000000300321 
            Compare 1USAUNC and 1USAUCS.                          3000000300322 
1USAUCN    (University of Cincinnati, Cincinnati, OH)             3000000300323 
1USAUCO    (University of Connecticut, Groton, CT)                3000000300324 
1USAUCS    (Union Carbide, Sterling Forest Res. Center, Tuxedo,NY)3000000300325 
            Compare 1USAUCB.                                      3000000300326 
1USAUCX    (University of California, Berkeley, CA)               3000000300327 
1USAUI     (University of Illinois, Urbana-Champaign, IL)         3000000300328 
1USAUID    (University of Idaho, Moscow, ID)                      3000000300329 
1USAUMA    (University of Massachusetts, Amherst, MA)             3000000300330 
1USAUMT    (University of Montana, Helena, MT)                    3000000300331 
1USAUNB    (University of Nebraska, Lincoln, NE)                  3000000300332 
1USAUNC    (United Nuclear Corp., Elmsford, NY)                   3000000300333 
            Compare 1USAUCB.                                      3000000300334 
1USAUNH    (University of New Hampshire, Durham, NH)              3000000300335 
1USAURS    (Ursinus College, Collegeville, PA)                    3000000300336 
1USAUSA    (United States of America)                             3000000300337 
1USAUSC    (University of Southern California, Los Angeles, CA)   3000000300338 
1USAUSU    (Utah State University, Loagn, UT)                     3000000300339 
1USAUWY    (University of Wyoming, Laramie, WY)                   3000000300340 
1USAVBT    (Vanderbilt University, Nashville, TN)                 3000000300341 
1USAVIP    (Virginia Polytechnic Inst.,Blacksburg, VA)            3000000300342 
1USAVIR    (University of Virginia, Charlottesville, VA)          3000000300343 
1USAWAD    (Wright Air Development Center, OH)                    3000000300344X
           =(continued 1972 as ARL)                               3000000300345X
1USAWAL    (Westinghouse Astronuclear Lab., Pittsburgh, PA)       3000000300346 
1USAWAP    (Westinghouse Atomic Power Div., Pittsburgh, PA)       3000000300347 
1USAWAS    (Washington University, St.Louis, MO)                  3000000300348 
            Distinct from GWU, MIS, WAU, WSU                      3000000300349 
1USAWAT    (Watertown Arsenal, Watertown, MA)                     3000000300350 
1USAWAU    (University of Washington, Seattle, WA)                3000000300351 
1USAWAY    (Wayne State University, Detroit, MI)                  3000000300352 
1USAWES    (Westinghouse Research Lab., Pittsburgh, PA)           3000000300353 
1USAWEW    (Westinghouse Advanced Reactor Div., Pittsburgh, PA)   3000000300354 
1USAWGC    (West Georgia College, Carrolton, GA)                  3000000300355 
1USAWIS    (University of Wisconsin, Madison, WI)                 3000000300356 
1USAWKU    (Western Kentucky University, Bowling Green, KY)       3000000300357 
1USAWLY    (Wesleyan University, Middletown, CT)                  3000000300358 
1USAWMC    (College of William and Mary, Williamsburg, VA)        3000000300359 
1USAWMU    (Western Michigan University, Kalamazoo, MI)           3000000300360 
1USAWPI    (Worcester Polytechnic Institute, Worcester, MA)       3000000300361 
1USAWRU    (Western Reserve University, Cleveland, OH)            3000000300362 
            Later on merged with Case Inst. of Technol. to Case   3000000300363 
             Western Reserve U. for which code CSE must be used   3000000300364 
1USAWSA    (White Sands Missile Range, White Sands, NM)           3000000300365 
1USAWSU    (Washington State University, Pullman, WA)             3000000300366 
1USAWVU    (University of West Virginia, Morgentown, WV)          3000000300367 
1USAWWS    (Western Washington State College, Bellingham, WA)     3000000300368 
1USAYAL    (Yale University, New Haven, CT)                       3000000300369 
2AUSATI    (Atominstitut der Technischen Universitaet Wien,Vienna)3000000300370 
            Formerly Atominstitut der Oesterreichischen           3000000300371 
            Hochschulen                                           3000000300372 
2AUSAUS    (Austria)                                              3000000300373 
2AUSGFK    (Technische Universitaet Graz, Graz)                   3000000300374 
            -1975: Technische Hochschule Graz                     3000000300375 
2AUSIRK    (Inst. fuer Isotopenforschung und Kernphysik, Vienna)  3000000300376X
            =(previously Inst. fuer Radiumforschung und Kernphysik3000000300377X
2AUSKUL    (Johannes-Kepler-Universitaet, Linz)                   3000000300378 
2AUSPVI    (Inst.fuer Experimentalphysik, Universitaet Wien)      3000000300379O
            Obsolete. Use 2AUSVIE.                                3000000300380O
            Previously 1.Physikalisches Institut                  3000000300381O
2AUSSGA    (Oest.Forschungszentrum Seibersdorf, Wien+Seibersdorf) 3000000300382 
           =(previously Oest.Studienges.f.Atomenergie)            3000000300383 
2AUSTHV    (Technische Universitaet Wien, Vienna)                 3000000300384 
            Use ATI for Atominstitut                              3000000300385 
2AUSTPG    (Universitaet Graz, Graz)                              3000000300386 
2AUSVIE    (Universitaet Wien, Vienna)                            3000000300387 
            Use IRK for Inst.fuer Isotopenforschung und Kernphysik3000000300388 
2BLGBLG    (Belgium)                                              3000000300389 
2BLGBN     (Belgonucleaire)                                       3000000300390 
2BLGBRU    (Universite Libre de Bruxelles, Bruxelles)             3000000300391 
           =(previously Brussels Univ.)                           3000000300392 
2BLGGHT    (Universiteit Gent, Gent)                              3000000300393 
            -1991: Rijks Universiteit Gent)                       3000000300394 
2BLGLEU    (Katholieke Univ. Leuven, Leuven)                      3000000300395 
2BLGLIE    (Univ.of Liege, Liege)                                 3000000300396 
2BLGLVN    (Catholic Univ. of Louvain, Louvain-la-Neuve)          3000000300397 
2BLGMOL    (C.E.N., Mol)                                          3000000300398 
2BLGNAM    (University "Notre Dame de la Paix", Namur)            3000000300399 
2BLGPCL    (Inst.de Physique Corpusculaire, Louvain-la-Neuve)     3000000300400 
2BLGUIA    (Univ. Instelling, Anvers)                             3000000300401 
2BLGUMK    (Union Miniere du Haut Katanga, Bruxelles)             3000000300402 
2BLGVUB    (Vrije Universiteit Brussels, Brussels)                3000000300403 
2DENAAU    (Aarhus University, Aarhus)                            3000000300404 
2DENCOP    (Univ. of Copenhagen, Copenhagen)                      3000000300405 
2DENDEN    (Denmark)                                              3000000300406 
2DENNBI    (Niels Bohr Inst., Copenhagen)                         3000000300407 
2DENNTA    (Nordita, Denmark)                                     3000000300408 
2DENRIS    (Riso, Roskilde)                                       3000000300409 
2EIREIR    (Ireland)                                              3000000300410 
2EIRUCD    (University College, Dublin)                           3000000300411 
2FR AAA    (Groupement Atomique Alsacienne Atlantique)            3000000300412X
            Novatome from 1976, now part of AREVA-ANP             3000000300413X
2FR ARN    (GIP Arronax, Saint Herblain)                          3000000300414 
2FR BOR    (Universite de Bordeaux)                               3000000300415 
            see also 2FR GRA                                      3000000300416 
2FR BRC    (CEA/DAM Ile-de-France, Bruyeres-le-Chatel, Arpajon)   3000000300417 
2FR CAD    (CEA/Cadarache)                                        3000000300418 
2FR CAE    (Universite de Caen)                                   3000000300419 
            Use also for Lab. de Physique Corpusculaire (LPC)     3000000300420 
2FR CEL    (CEN Limeil)                                           3000000300421X
            Centre closed; merged with 2FR BRC                    3000000300422X
2FR CLE    (Universite Blaise Pascal, Clermont-Ferrand)           3000000300423 
2FR CRI    (Centre d'Etudes et de Rech. par Irrad., CNRS-Orleans) 3000000300424 
